V4,V5,V7,V9,V10,V11,V13,V16,V17,V18,V19,V21,V22,V23,V27,V29,V30
223.05,171.85,305.9,212.28,53.7,187.25,205.89,153.21,288.88,179.2,108.12,198.04,287.18,185.34,212.65,213.41,187.1
183.14,149.82,272.27,184.66,50.8,173.22,177.63,132.32,216.55,149.55,104.39,185.13,209.45,157.71,205.89,172.07,122.87
148.73,128.47,197.54,172.07,51.18,173.02,165.06,130.39,192.35,138.09,101.72,184.5,193.34,125.75,197.79,150.14,108.23
176.09,136.2,298.69,188,64.36,178.65,192.94,117.99,228.16,149.84,103.28,173.18,215.35,107.56,258.09,185.6,133.3
190.8,155.81,310.27,223.6,88.3,195.98,223.71,131.53,281.81,175.22,103.81,209.05,251.92,134.77,259.72,207.21,147.7
89.39,103.93,357.23,219.64,83.87,167.3,203.67,95.19,238.09,190.09,106.14,177.64,220.76,107.9,270.32,191.53,136.98
258.64,151.46,322.83,256.07,68.04,191.82,228.67,127.85,193,173.61,103.29,195.92,224.51,139.4,303.33,207.38,141.95
268.39,152.32,368.63,237.89,76.45,214.61,241.39,132.11,325.25,186.97,103.47,206.27,258.62,144.83,265.55,236.22,156.25
194.0437621,104.15,319.62,195.66,55.72,180.46,201.47,133.14,270.36,161.41,104.75,195.28,150.84,162.19,243.6,212.06,106.98
138.0002332,101.38,229.8168736,120.38,53.76,121.56,140.5,105.58,147.99,108.08,101.77,137.15,80.88,138.03,126.42,117.76,79.01
64.09,55.29,116.64,62.61,61.33,67.52,88.94,56.75,120.83,82.16,77.11,96.43,48.91,65.62,86.97,107.28,44.47
86.08,68.31,152.88,50.02,87.09,83.27,88.52,73.29,161.08,84.64,50.16,96.11,31.19,72.78,126.01,84.72,60.22
150.33,151.07,219.32,132.39,191.34,142.76,189.91,125.34,220.04,160.5,144.78,160.97,91.12,160.62,180.31,179.31,137.08
174.03,169.12,271.05,165.23,127.4,169.69,201.11,153.51,254.99,172.74,166.92,192.05,102.91,186.48,200.25,188.56,142.08
168.8,130.77,196.61,125.51,72.05,132.1,153.09,122.46,228.06,134.95,115.25,150.89,70.53,135.73,149.74,155.95,99.97
138.1875051,106.36,158.31,100.1,54.77,100.22,114.1,89.63,159.37,98.67,80.73,125.39,55.65,119.09,125.98,109.45,79.44
100.73,83.49,155.25,67.92,52.47,88.96,96.41,79.5,159.83,75.54,61.88,115.32,43.75,88.16,107.72,92.84,69.37
142.17,94.88,192.77,134.76,44.85615548,132.67,132.23,98.76,205.62,87.9,50.97,158.84,85.29,113.51,155.25,132.47,82.49
134.44,83.78,174.21,115.81,35.8,128.53,119.32,85.98,205.33,91.25,12.51,147.02,114.16,98.33,127.74,123.94,78.74
129.58,111.3070994,157.49,84.63,30.6,98.75,112.69,79.27,160.53,90.27,11.05,123.58,119.84,100.12,115.47,125.76,85.55
132.54,153.92,174.19,93.36,38.69821558,108.64,139.45,96.91,209.52,119.1,24.14,136.83,136.86,125.08,133.4,147.44,93.94
163.98,119.82,188.27,125,43.62099055,148.97,163.25,112.4,216.41,119.54,13.88,139.51,173.63,149.48,144.9,172.25,109.15
120.08,92.05,185.3640015,102.84,48.54376552,104.06,119.04,84.87,120.81,100.73,11.14,106.75,136.65,104.28,128.51,129.9,86.94
99.66,89.03,198.14,104.81,53.46654049,111.97,117.46,66.81,144.03,107.97,9.88,142.85,110.08,111.03,128.1,128.64,76.05
132.51,83.86,156.48,91.25,58.38931546,125.71,120.87,65.88,165.94,90.73,15.63353746,124.79,113.2,106.51,122.73,107.85,68.73
121.52,75.28,147,49.85,64.97,73.64,91.53,54.55,147.31,82.1,19.47941576,91.92,94.69,88.46,94.59,101.79,64.28
104.46,69.64,125.49,61.81,67.28,53.99,100.02,69.99,107.22,75.84,23.32529405,96.51,103.19,79.67,99.73,102.46,70.06
76.68,61.82,124.74,81.96,40.39,45.84,76.75,65.41,111.41,66.74,24.82,77.11,85.98,66.84,91.22,81.93,63.59
73.28,76.18,16.61,77.35,92.03,33.71,72.52,59.38,88.49,57.39,46.45,69.97,77.81,63.6,83.55,82.61,56.81
93.39,82.93,11.21,76.07,106.38,65.01,66.49,74.41,96.9,70.85,14.62,78.03923744,94.32,93.34,97.56,97.07,67.42
109.96,82.75,223.92,44.37,101.05,80.98,91.97,79.6,102.76,112.27,27.75,82.62,103.19,92.24,94.26,111.37,69.61
74.81,58.85,109.65,36.18,65.1,37.15,74.05,53.52,86.57,64.95,29.07,70.17,78.72,66.72,79.42,80,54.42
68.31,60.38,100.09,51.07,33.1,34.6,81.96,46.8,124.89,72.81,28.64,59.97,78.45,64.13,79.09,77.93,57.77
85.29,77.86,108.8,75.34,31.25,78.74,92.06,64.99,87.21,59.97,37.98,65.16,92.88,82.41,95.83,98.67,71.68
75.85,56.94,149.88,72.44,33.72,80.95,82.23,55.34,119.07,62.65,44.72,90.24,134.6230299,74.14,104.39,96.09,72.58
91.27,66.18,120.08,51.75,34.39,62.53,83.57,60.74,113.85,70.62,33.1,97.83,172.0121058,80.02,101.41,89.95,65.92
122.401858,93.1,130.82,60.91,116.87,91.68,107.88,70.83,118.14,81.93,41.64,90.9,209.4011816,92.86,113.58,109.03,74.13
151.57,137.19,226.7,164.22,244.2,146.51,184.73,138.54,220.13,159.6,182.82,161.09,251.39,170.29,181.34,198.2,150.12
189.97,160.41,227.51,188.86,205.6662643,184.88,205.68,160.81,234.01,152.92,332.89,190.65,284.3,195,239.22,215.92,162.49
123.26,108.52,162.74,82.02,201.2954822,113.8,128.22,99.57,178.05,100.97,132.7,124.11,150.72,124.77,201.328489,134.18,97.18
80.29,65.04,109.07,38.65,196.9247001,69.72,80.48,62.32,115.26,51.2,69.45,126.89,96.52,73.37,189.7442973,81.71,55.22
87.93426472,61.04,100.43,48.92,192.553918,49.02,101.98,64.09,148.83,64.84,103.13,121.8971394,75.11,80.29,178.1601056,90.16,56.82
86.53054031,59.18,132.67,55.22,188.1831359,48.12,116,53.06,97.71,71.65,58.84,115.7026613,77.06,65.58,166.5759138,78.69,59.56
85.1268159,64.71,132.84,70.42,183.8123538,27.53,116,57.04,112.66,74.82,96.14,109.5081831,77.36,76.15,154.9917221,78.9,55.31
83.7230915,70.38,125.99,81.56,179.4415717,96.26,116,84.96,182.61,104.03,88.93,103.3137049,119.23,95.4,143.4075304,104.89,78.43
82.31936709,59.7,117.71,52.13,175.0707896,99.95,116,57.88,174.3,58.46,86.37,97.11922672,85.43,73.05,131.8233386,96.44,65.85
82.49,58.41170034,110.94,38.03,170.7000075,70.98,116,52.23,152.83,54.42,76.83,90.92474855,72.24,62.22,120.2391469,76.02,60.88
73.67,56.75,93.88,56.05,166.3292254,59.62,116,48.35,172.98,55.49,80.89,76.88,66.66,60.48,108.6549552,69.09,53.18
64.77,51.49,95.71,62.27,161.9584433,73.8,116,49.74,194.41,55,83.59,65.81,64.7,67.43,97.07076346,71.62,56
55.33,44.64,100.11,51.2,157.5876612,59.14,116,47.08,129.96,46.62,100.56,104.71,59.71,59.93,85.48657173,70.65,59
54.20606966,54.94,69.29,32.82,153.2168791,35.95,116,47.74,143.23,43.86,205.51,90.52329963,63.58,63.47,73.90238,68.65,57.2944787
51.64909846,40.91,100,47.91,148.846097,46.76,116,35.83,147.82,40.86,140.59,90.40345865,45.51,48,59.6,62.6,56.59031167
46.8,35.47,80.27,51.29,144.4753149,14.86,116,29.01,129.2,48.13367371,117.4888974,90.28361766,46.09,38.22,52.51,56.26,55.88614465
55.64,38.39,70.81,50.08,140.1045328,31.33,116,27.2,108.35,55.53,86.02,90.16377668,33.96,42.3,49.32,71.13,55.18197762
60.27,44.62,94.76,66.56048773,135.7337507,64.59,116,34.65,96.93,50.87,77.21,90.04393569,66.5,61.16,65.56,76.61,54.47781059
63.46,46.95,88.51,77.15,131.3629686,69.57,100.51,42.83,76.42,42.56,89.38,89.92409471,59.44,60.45,69.86,70.21,53.77364357
111.2,115.87,129.41,121.33,126.9921865,112.72,139.45,93.02,63.61,85.26,131.32,89.80425372,155.26,104.59,124.08,129.47,53.06947654
74.59,69.49,83.15853793,71.4,122.6214044,49.26,84.49,45.58,45.89,72.2,69.85,89.68441274,62.62,48.06,68.8,72.73,52.36530952
54.69,19.56,42.9,38.18,118.2506223,7.95,53.32,22.93,25.05,35.9,54,89.56457175,84.2,25.4,43.07,42.62,51.66114249
71.82,56.44801794,53.16,58.11,113.8798402,6.53,64.34,40.44,32.94,52.91,51.15,89.44473077,56.73,46.85,47.53,59.75,50
75.86,63.29652798,55.25,60.08,109.5090581,13.33,147.68,45.18,45.44,111.28,35.71,74.74,34.72,35.9,47.76,44.75,38.34
171.71,70.14503802,147.29,180.23,90.38,104.31,219.86,118.59,120.36,114.72,137.02,126.38,95.62,59.60836492,149.22,136.44,99.18
128.65,95.37,164.39,147.38,151.05,116.72,125.08,81.99,125.06,99.12050311,127.48,89.15856233,103.38,71.064493,140.13,122.03,96.31
115.16,71.97,130.0305748,108.15,148.61,106.57,108.46,70.74,100.91,89.97326462,102.22,84.31,58.71,104.59,92.75,108.8,85.51
103.38,59.27,111.7769847,90.76,143.88,88.43,84.28,55.06,80.5,80.82602612,87.1,63.77,35.28,75.89,74.82,90.13,69.55
97.45,53.01,93.5233947,89.72,140.93,69.54,80.06,58.95,88.8,71.24,82.83,51.77,26.26,66.99,72.43,83.97,67.01
97.82,59.75,77.49,98.83,141.81,70.27,95.56,61.67,80.91,62.25,82.43,67.94,63.62,76.66,76.59,92.44,78.5
89.26,51.72,18.17,75.55,137.95,63.27,85.96,42.38,107.46,59.84,73.69,72.18,80.77,66.95,67,78.13,63.66
83.43,50.18,76.64,62.41,135.7142393,45.57,72.91,40.15,81.95,52.96,61.89,62.93,71.12,58.02,52.52,80.14,67.45
79.02,47.41,202.56,66.33,133.3120847,48.36,76.06,42.22,86.86,56.01,61.62,64.69,68.26,59.35,52.72,73.69,70.88
85.92,32.09,463.45,72.63,130.9099301,49.14,73.88,50.52,54.44,56.84,66.98,60.82,73.44,55.68,63.47,79.68,65.44
85.8,56.63,364.5281049,78.59,128.5077754,51.91,76.96,52.49,101.84,64.2,61.64,49.97,68.9,69.48,63.83,75.46,60.75
70.9,49.72,345.5632084,78.92,126.1056208,51.6,78.7,44.35,60.51,63.42,53.53,36.15,58.89,58.34,67.98,80.39,55.06
73.7,40.59,326.5983119,60.56,123.7034662,43.11,62.16,37.93,60.03,52.52,62.3,31.11,41.68,51.92,62.42,63.86,45.14
47.39,27.44,307.6334154,50.28,121.3013116,37.26,49.68,26.32,129.7,40.5,30.44,22.02,40.14,41.43,51.8,44.16,39.46
40.94,25.85,288.668519,61.29,118.8991569,49.31,50.9,23.39,71.75,43.12,49.2,28.41,53.94,42.66,63.76,48.06,44.94
36.36,24.36,269.7036225,53.85,116.4970023,48.99,49.22,26.71,47.23,45.2,48.04,29.66,47.54,41.97,51.33,50.35,43.39
51.7,37.36,250.738726,84.12,114.0948477,45.68,58.01,41.52,63.3,46.53,50.31,52.32,42.25,45,70.36,60.46,51.96
41.74,33.86,231.7738295,46.17,111.6926931,41.06,78.53,26.64,66.92,54.40498476,39.03,45.9,35,48.02401959,39.41,42.54,36.21
36.26,27.32,212.8089331,43.85,109.2905384,37.67,49.17,22.2,46.21,70.48,36.36,53.85,44.64,50.20968805,40.51,38.54,35.69
63.27,24.91,193.8440366,48.58,106.8883838,35.83,43.55,22.47,39.31,31.32,30.59,50.06,44.69,52.39535651,42.11,36.05,27.18
35.61,18.45,174.8791401,28.48,104.4862292,33.05,27.33,12.04,17.15,48.68149368,23.84,25.41,43.59,54.58102496,22.9,37.87691837,28.94
41.97,21.3,155.9142436,31.45,102.0840746,32.26,31.57,15.71,71.65,59.78,20.5,32.54,45.01,56.76669342,25.39,38.28,29.03
36.78,21.7,136.9493472,34.73,120,33.04,31.85,9.92,21.38,57.95,31.66,31.43,51.95,58.95236188,28.98,34.03,31.21
31.96,16.3,117.9844507,26.98,25.01,29.62,28.76,4.88,31.43,25.35,23.14,31.46,42.93,61.13803033,24.86,28.51,33.79
51.63,30.12,99.0195542,41.01,27.81,40.8,42.89,24.3,35.93,64.7,34.72,45.59,58.45,63.32369879,40.01,50.12,57.67
77.68,55.52,80.05465772,73.42,52.64,57.02,75.95,46.04,121.42,63.93,65.78,68.12,100.08,65.50936725,71.69,77.38,80.47
77.4,38.35,61.46,54.12,36.26,27.61,62.72,28.59,63.4,46.74,45.38,49.86,76.47,67.6950357,51.59,65.05,49.07
54.61,33.02,24.81,47.52,35.05,25.5,43.46,26.39,25.43,34.49,37.61,30.04,69.3,69.88070416,33.16,41.3,36.76
71.92,35.43,59.87,71.43,82.89,30.13,54.98,41.44,82.1,56.52,86.94,32.77,137.93,72.06637262,61.76,79.91,102.11
80.38,71.92,79.14,103.69,91.77,39.42,111.23,65.37,74.63,80.43,105.2,44.56,158.46,74.25204107,91.58,185.65,137.2
74.59,43.83,74.61040888,57.83,57.95,32.48,60.71,39.84,68.62,49.4,66.48,59.46,100.51,76.43770953,54.67,139.7511517,55.85
192.39,129.27,75.96104284,175.51,144.37,130.69,173.68,114.85,129.32,127.69,99.86,134.01,209.24,78.62337799,160.82,138.2593694,95.04716002
143.47,101,77.31167681,128.59,116.47,95.13,139.41,84.83,93.64,109.28,144.47,111.98,188.59,80.80904644,127.56,161.33,125.76
126.61,74.84,78.66231078,105.77,77.71,58.6,117.19,69.89,129.68,88.92,117.68,98.63,127.19,99.68,103.92,90,94.68
109.24,63.41,88.18,105.46,70.15,58.71,113.09,57.92,146.6,72.48,118.46,95.32,125.39,75.42,102.07,102.2555938,86.7
85.39,43.72,60.37,72.76,54.73,41.18,81.13,38.26,100.43,57.38,88.11,72.47,95.38,53.04,76.34,100.78,68.32
56.87,31,40.88,52.2,46.08,30.86,50.19,25.1,50.7,28.99,27,42.36,45.53,39.33,44.92,65.81,34.32
83.24,38,73.37,85.11,68.57,36.96,76.92,43.38,132.28,51.85,58.52,84.64,48.69581109,63.53,79.31,105.58,62.32
61.83,19,63.81,62.09,57.45,31.6,45.57,26,45.17,35.41,47.08,48.97,44.61851843,34.01,48.62,64.79,42.94
52.18,24.12,33.26,62.51,23.19,32.81,46.39,23.8,61.68,74.74,31.08,50.47,40.54122578,39.5,54.19,54.44,36.8
54.52,35.35,41.58,53.87,35.75,32.87,49.57,24.5,101.96,43.92,24.03,36.7,32.58,38.31,48.59,59.45,30.4
56.5,27.81,38.49,56,33.51,32.13,55.79,25.33,78.25,43.39,22.76,49.39,51.98,43.7,55.89,52.1,39.1
67.62,38.17,48.09,62.74,52.11,33.29,66.95,33.53,156.29,48.12,36.36,64.92,67.67,43.35,58.23,103.18,53.57
