V4,V5,V7,V9,V10,V11,V13,V16,V17,V18,V19,V21,V22,V23,V27,V28,V29,V30
42.36,25.43,86.36,33.62,38.43,93.65,39.81,60.27,37.8,42.04,8.2,30.91,112.03,39.94,21.07,32.79,39.98,39.3
52.7,25.14,85.89089461,10.88,37.67,64.44,38.35,45.55,26.39,49.44,6.23,28.2,91.77,33.42,22.33,29.2,37.72,42.57
33.75,29.22,92.19,17.04,35.49,68.52,37.55,35.54,30.63,41.72,5.16,33.96,72.8,36.87,22.84,30.01,38.26,36.41
40.93,32.74,73.01,34.37,40.66,75.81,39.53,34.85,37.71,71.5,9.799894952,38.78,77.56,37.02,24.36,36.48,34.29,32.74
36.94,28.79,69.52,26.59,35.29,43.81,30.2,29.28,33.21,65.01,13.10277616,27.28,65.08,31.76,18.71,30.2,36.77,34.45
33.83,30.89,58.92,28.09,38.63732734,30.6,36.81,37.11,30.91,22.65,16.40565738,30.28,71.06,33.66,20.34,32.54,36.78,36.69
22.1,24.94,58.55,24.02,40.59866297,26.93,25.48,34.91,25.51,21.48,21.03,23.23,59.05,26.63,17.58,33.74,27,27.67
23.5,25.49,7.85,24.58,42.55999859,19.67,21.2,31.45,18.51,44.13,20.68,21.45,51.23,23.42,14.95,28.83,28.54,25.72
38.1,34.4,5.24,30.38,44.52133422,37.62,25.91,39.61,23.73,55.6,12.56,21.14478032,63.74,36.71,20.31,36.07,42.28,32.49
31.65,27.37,105.48,26.26,46.48266984,46.43,23.98,43.15,24.64,32.52,24.21,20.93,72.47,32.51,18.18,27.07,33.9,30.02
16.92,19.96,51.88,19.12,48.44400547,22.15,21.92,28.66,15.73,22.49,24.79,16.8,51.88,24.16,15.6,21.72,26.24,24.89
18.78,18.24,47.08,22.07,50.40534109,20.15,22.3,25.3,17.32,22.1,24.97,19.12,53.44,20.24,14.14,21.43,24.74,23.75
26.74,22.84,50.8,26.13,52.36667672,46.76,24.95,34.93,18.72,24.44,32.99,18.92,62.53,27.06,16.28,21.74,29.92,26.7
26.92,17.45,70.84,21.64,54.32801234,47.6,22.71,29.76,22.91,19.46,36.78,18.92,91.34565671,22.34,16.96,34.63,28.69,25.93
19.48,19.92,57.15,25.25,56.28934797,37.42,23.88,33.05,21.53,53.58,28.51,20.91,115.5119705,23.58,17.8,29.59,31.11,23.86
21.65,27.52,61.31,29.87,58.25068359,54.71,32.35,37.97,23.68,23.76,36.27,26.83,139.6782843,29.57,20.04,31.94,35.37,28.68
48.83,38.01,104.18,52.9,60.21201922,87.06,53.98,73.24,47.45,51.68,164.33,45.18,175.15,50.49,31.59,38.57,59.22,51.06
44.23,28.8,104.69,55.51,62.17335484,112.07,44.73,85.14,36.94,45.93,299.79,37.45,164.86,43.85,31.29,30.75,46.38,44.98
30.24,27.86,76.14,34.2,64.13469047,68.89,32.88,53.47,33.35,26.2,91.24,34.7,113.26,33.12,20.13,27.21,36.38,35.12
20.01,18.05,51.02,28.6,66.09602609,41.59,20.06,33.3,16.65,40.75,30.84,19.85,77.45,22.72,16.49,21.68,23.94,20.37
19.97,21.09,46.67,28.51,68.05736172,28.18,27.17,34.05,31.00268726,29.55,23.44,26.77,60.88,31.07,16.44,18.9,30.4,24.76
21.12,22.41,62.13,22.48,70.01869734,26.74,20.88,28.4,32.25010086,26.3,19.82,23.78512206,60.88,23.73,15.14,22.02,25.12,23.73
25.34,26.36,61.82,25.29,71.98003297,15.15,26.96,30.15,33.49751446,54.36,8.42,22.02887421,61.41,30.44,16.78,30,30.24,23.36
33.88,35.05,57.43,30.43,73.94136859,51.77,37.72,43.1,34.74492806,61.51,33.9,20.27262636,94.7,44.75,24.04,42.15,41.85,36.8
22.32,23.18,54.83,24.54,75.90270422,57.99,25.8,31.15,35.99234166,23.16,40.47,18.51637851,69.98,28.23,17.46,24.16,31.05,27.63
26.29,24.67,52.76,24.27,77.86403984,44.22,23.16,28.29,37.23975526,22.44,41.33,16.76013066,58.39,25.23,16.45,28.67,32.06,25.79
18.01,20.64,44.31,20.11,79.82537547,36.43,18.35,26.17,38.48716886,43.32,37.94,14.3,56.86,22.95,17.19,18.99,26.67,23.83
15.33,20.92,45.27,21.05,81.78671109,45.92,21.28,26.84,39.73458245,22.33,43.44,14.95,63.51,26.19,16.55,21.87,29.41,24.63
17.15,20.22,46.73,19.02,83.74804672,37.19,17.66,24.92,40.98199605,22.61,27.77,18.27,58.8,22.87,13.88,21.64,26.36,26
13.31,13.97,31.32,15.57,85.70938234,21.62,13.62,24.68,42.22940965,23.61,24,14.56027435,61.53,17.8,15.32,17.27,19.92,24.17623905
12.72,14.06,47.01,15.45,87.67071797,28.61,12.62,19.43,80.51,0.81,20.68,11.3,45.32,13.77,23.32,17.41,19.26,22.8654527
15.01,17.59,38.17,15.66,89.63205359,8.87,15.19,15.51,30.23,22.99519494,24.98271941,12.24,49.56,17.46,22.18,16.75,22.96,21.55466635
11.91,13.38,32.86,14.44,91.59338922,16.69,12.85,14.81,28.01,37.96,26.15,13.12,35.64,16.38,14.57,16.32,21.61,20.24388
12.28,12.78,44.68,18.25401285,93.55472484,36.13,12.79,18.67,26.03,40.12,33.3,13.56,66.69,16.04,11.93,25.76,23.6,18.93309364
14.35,15.96,41.37,19.57,95.51606047,39.11,22.47,22.81,21.52,26.28,38.2,13.32,57.68,17.82,12.05,16.59,21.79,17.62230729
39.27,46.76,60.41,32.71,97.47739609,61.75,51.74,48.34,40.93,61.37,62.02,36.46,149.55,43.97,27.52,45.94,48.71,16.31152094
20.36,29.3,38.9814747,14.3,99.43873172,22.6,22.25,20.79,19.06,11.87,15.27,12.35,9.14,18.71,13.53,19.42,18,15.00073459
7.6,8.21,20.59,9.65,101.4000673,3.82,13.69,11.36,7.4,25.67,20.43,5.54,44.11,23.89741373,9.74,5.44,12.98,13.68994824
12.63,12.40924323,24.4,14.05,103.361403,3.69,18.76,21.68,15.13,14.32,29.74,8.75,43.38,24.7210737,10.52,15.53,16.67,11.1
13.59,14.11259678,25.52,18.79,105.3227386,7.03,16.13,23.89,20.01,26.07,22.13,10.63,23.99,25.54473366,10.16,12.13,17.32,15.52
29.31,15.81595033,64.33,40.09,117.7,59.18,36.27,60.58,35.2,82.83,32.05,22.14,31.83,26.36839363,22.39,18.54,29.55,23.85
18.25,17.77,71.67,34.71,76.35,66.31,30.3,42.62,41.07,56.08003128,40.92,19.81,44.96,27.1920536,24.73,18.24,33.78,28.13
20.26,17.3,57.33110058,25.94,39.08,60.54,27.54,37.03,35.92,50.65049274,36.53,18.09,35.5,29.34,17.79,16.39,31.26,23.48
19.86,16.74,49.64711508,23.76,32.05,49.29,23.84,29.44,25.82,45.22095419,38.89,17.77,25.62,24.52,12.2,13.72,29.38,21.17
16.47,13.66,41.96312958,20.18,29.63,37.09,21.08,31.38,26.84,41.11,39.18,17.17968225,18.14,22.19,10.23,10.47,25.3,19.26
14.32,14.79,35.02,21.77,31.1,38.47,22.17,32.97,29.26,28.49,40.45,16.60160623,24.9,24.74,10.41,9.51,26.76,19.53
36.89,12.63,8.18,17.56,19.87,34.88,18.62,22.54,28.48,25.67,33.69,16.0235302,34.75,20.4,10.18,8.72,20.9,16.14
41.24,10.61,34.51,15.58,20.95014008,24.53,16.96,21.41,23.53,42.76,26.34,15.44545418,32.93,16.62,10.31,7.1,21.44,15.24
